P M Time
32 262144 0.440566
32 262144 0.387090
32 262144 0.432035
32 262144 0.440692
32 262144 0.386958

32 1048576 1.180534
32 1048576 1.048963
32 1048576 1.044004
32 1048576 1.170133
32 1048576 1.097282

8 262144 0.083216
8 262144 0.083016
8 262144 0.082350
8 262144 0.083237
8 262144 0.082545

8 1048576 0.345364
8 1048576 0.347087
8 1048576 0.345580
8 1048576 0.346037
8 1048576 0.345245

16 262144 0.134432
16 262144 0.134080
16 262144 0.140642
16 262144 0.133382
16 262144 0.134173

16 1048576 0.553625
16 1048576 0.560207
16 1048576 0.555848
16 1048576 0.558395
16 1048576 0.568947
